seg_uid,seg_id,road_name,length_m
DM-192405-284332-YE20,DM00159,구성로,96.2
DM-192410-283995-ZLSO,DM02933,구성로204번길,34.8
DM-192416-284070-W4QT,DM00109,제봉로,47.4
DM-192419-284030-W4QT,DM00108,제봉로,60.8
DM-192421-284268-4W2N,DM02438,제봉로200번길,15.1
DM-192423-284145-GM2I,DM03336,제봉로190번길,16.4
DM-192424-284303-D6CG,DM03163,동계천로43번길,37.5
DM-192426-284172-66YK,DM00554,제봉로194번길,33.4
DM-192428-284131-GM2I,DM02854,제봉로190번길,23.6
DM-192433-284277-D6CG,DM00585,동계천로43번길,12.6
DM-192436-284285-D6CG,DM00589,동계천로43번길,5.1
DM-192437-284268-JFYG,DM00587,동계천로,14.1
DM-192438-284206-66YK,DM00553,제봉로194번길,68.6
DM-192439-284246-66YK,DM00556,제봉로194번길,55.9
DM-192442-284309-D6CG,DM03162,동계천로43번길,45.4
DM-192446-284134-GM2I,DM02853,제봉로190번길,26.9
DM-192446-284360-YE20,DM00163,구성로,19.6
DM-192451-284380-YE20,DM00162,구성로,36.5
DM-192452-284300-D6CG,DM00588,동계천로43번길,47.0
DM-192455-284273-JFYG,DM02439,동계천로,32.6
DM-192458-284074-BH1S,DM00110,제봉로184번길,58.3
DM-192459-284108-BH1S,DM00539,제봉로184번길,54.8
DM-192459-284326-D6CG,DM00591,동계천로43번길,25.3
DM-192459-284353-YE20,DM03159,구성로,14.6
DM-192461-284037-W4QT,DM00107,제봉로,63.2
DM-192461-284254-JFYG,DM00558,동계천로,42.3
DM-192461-284371-PF48,DM00677,구성로238번길,36.1
DM-192462-284150-GM2I,DM02679,제봉로190번길,17.6
DM-192463-283928-X9DQ,DM00373,중앙로,66.7
DM-192468-284389-PF48,DM00165,구성로238번길,12.2
DM-192469-283966-X9DQ,DM00376,중앙로,46.3
DM-192469-284237-66YK,DM00555,제봉로194번길,20.2
DM-192477-284326-D6CG,DM00590,동계천로43번길,26.2
DM-192479-284126-BH1S,DM00541,제봉로184번길,58.1
DM-192482-284339-D6CG,DM00593,동계천로43번길,14.0
DM-192482-284412-YE20,DM00164,구성로,52.4
DM-192483-284212-GM2I,DM00557,제봉로190번길,54.9
DM-192485-284175-GM2I,DM02680,제봉로190번길,50.8
DM-192487-284371-PF48,DM00595,구성로238번길,40.6
DM-192491-284099-BH1S,DM00538,제봉로184번길,24.2
DM-192494-284140-BH1S,DM00543,제봉로184번길,61.4
DM-192496-284225-JFYG,DM00561,동계천로,48.5
DM-192496-284345-D6CG,DM00592,동계천로43번길,28.2
DM-192499-284279-JFYG,DM02440,동계천로,95.2
DM-192505-284003-W4QT,DM00103,제봉로,48.6
DM-192506-283970-X9DQ,DM00104,중앙로,53.2
DM-192508-284113-BH1S,DM00540,제봉로184번길,19.4
DM-192509-284200-GM2I,DM02441,제봉로190번길,18.0
DM-192510-284233-JTSZ,DM00564,동계천로53번길,42.0
DM-192514-284045-3URW,DM00106,제봉로178번길,79.1
DM-192515-284345-PF48,DM00596,구성로238번길,34.7
DM-192521-284215-JTSZ,DM00560,동계천로53번길,19.6
DM-192525-284255-JTSZ,DM00567,동계천로53번길,53.3
DM-192526-284169-BH1S,DM00545,제봉로184번길,66.9
DM-192527-284210-JFYG,DM02442,동계천로,22.4
DM-192529-284222-JTSZ,DM00563,동계천로53번길,2.6
DM-192530-284308-PF48,DM00678,구성로238번길,66.2
DM-192532-284132-BH1S,DM00542,제봉로184번길,42.9
DM-192535-284228-JTSZ,DM00565,동계천로53번길,14.4
DM-192536-284393-D6CG,DM00594,동계천로43번길,101.3
DM-192538-284183-JFYG,DM00562,동계천로,72.5
DM-192543-284225-JFYG,DM02685,동계천로,22.0
DM-192550-284013-X9DQ,DM00105,중앙로,70.2
DM-192550-284203-JFYG,DM00566,동계천로,57.1
DM-192551-283967-W4QT,DM00101,제봉로,68.4
DM-192551-284282-JTSZ,DM00569,동계천로53번길,53.9
DM-192553-284246-JTSZ,DM00568,동계천로53번길,36.3
DM-192557-284151-BH1S,DM00544,제봉로184번길,18.7
DM-192558-284056-X9DQ,DM00378,중앙로,49.8
DM-192561-284241-JFYG,DM02686,동계천로,25.1
DM-192562-284169-JFYG,DM02443,동계천로,17.7
DM-192571-284100-3URW,DM00536,제봉로178번길,78.6
DM-192572-284209-JFYG,DM02687,동계천로,63.3
DM-192574-284270-JTSZ,DM00570,동계천로53번길,27.9
DM-192582-284141-JFYG,DM00537,동계천로,48.2
DM-192584-284249-JTSZ,DM00571,동계천로53번길,56.5
DM-192587-284050-X9DQ,DM00377,중앙로,34.7
DM-192600-283841-N1HO,DM00755,예술길15번길,21.1
DM-192600-283973-W4QT,DM00102,제봉로,70.3
DM-192601-284190-PF48,DM02688,구성로238번길,24.2
DM-192604-284165-PF48,DM02444,구성로238번길,86.4
DM-192604-284207-PF48,DM02689,구성로238번길,23.2
DM-192612-283918-W4QT,DM00098,제봉로,87.7
DM-192613-283843-N1HO,DM02034,예술길15번길,15.4
DM-192616-284261-PF48,DM02678,구성로238번길,37.1
DM-192618-284081-X9DQ,DM00379,중앙로,52.4
DM-192618-284112-JFYG,DM00382,동계천로,44.2
DM-192619-284247-PF48,DM00679,구성로238번길,64.2
DM-192620-284180-PF48,DM00687,구성로238번길,117.5
DM-192625-284036-X9DQ,DM00380,중앙로,73.9
DM-192627-283869-N1HO,DM00100,예술길15번길,57.9
DM-192627-284211-PF48,DM00683,구성로238번길,42.5
DM-192647-284230-PF48,DM00682,구성로238번길,12.2
DM-192655-284231-PF48,DM02673,구성로238번길,9.9
DM-192655-284273-X9DQ,DM02668,중앙로,59.6
DM-192656-283802-SLXC,DM00754,서석로85번길,35.5
DM-192656-284213-PF48,DM00681,구성로238번길,36.9
DM-192657-284077-JFYG,DM00383,동계천로,61.0
DM-192657-284120-X9DQ,DM00381,중앙로,59.1
DM-192661-284245-PF48,DM02670,구성로238번길,29.1
DM-192662-283787-SLXC,DM00752,서석로85번길,21.2
DM-192662-283845-W4QT,DM00097,제봉로,54.6
DM-192662-284158-X9DQ,DM00385,중앙로,47.3
DM-192664-283878-W4QT,DM00096,제봉로,42.9
DM-192667-284182-PF48,DM00689,구성로238번길,45.0
DM-192669-283913-0DUE,DM00099,제봉로158번길,61.5
DM-192670-284048-JFYG,DM02446,동계천로,23.6
DM-192673-284197-PF48,DM00684,구성로238번길,9.2
DM-192675-283950-0DUE,DM00757,제봉로158번길,42.2
