segment_id,road_name,width_m,width_min_m,width_p25_m,n_sample,width_src,road_bt,tier,current_status,flag
seg_2192,동계천로95번길,6.02,3.0,5.27,4,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_2138,동계로1번길,10.3,8.25,8.78,44,ngii_digitalmap,9.0,CANDIDATE,YELLOW,
seg_3042,동계천로85번길,3.2,1.12,2.68,4,ngii_digitalmap,1.5,FIXED_BLOCK,RED,
seg_2194,동계천로85번길,3.2,2.24,3.16,24,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1635,동계천로,10.04,0.71,5.67,6,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2174,동계로9번길,7.76,3.35,6.66,4,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_253,동계천로85번길,6.02,5.66,5.66,82,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_122,동계로9번길,7.76,6.8,7.62,81,ngii_digitalmap,9.0,CANDIDATE,YELLOW,
seg_1634,동계천로,10.28,2.5,7.34,6,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1627,동계천로,10.0,3.2,7.78,5,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2193,동계천로85번길,3.04,3.04,3.04,31,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_1632,동계천로,10.51,1.8,7.05,6,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_2196,동계천로95번길,6.18,1.8,5.24,10,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_1631,동계천로,9.69,0.71,5.54,6,ngii_digitalmap,3.0,FIXED_BLOCK,RED,
seg_354,동계천로,12.04,7.07,10.5,571,ngii_digitalmap,15.0,CANDIDATE,GRAY,
seg_2197,동계천로95번길,2.06,2.06,2.06,10,silpok,3.0,CANDIDATE,YELLOW,
seg_624,동계천로95번길,7.07,5.5,5.85,188,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_2151,동계로9번길,4.12,0.5,3.15,12,ngii_digitalmap,4.0,FIXED_BLOCK,RED,
seg_1652,중앙로252번길,4.61,3.16,4.25,4,ngii_digitalmap,2.0,CANDIDATE,GRAY,
seg_2207,동계로13번길,4.12,1.5,3.47,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_123,동계로13번길,4.12,4.12,4.12,121,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_1651,중앙로246번길,3.2,3.16,3.19,4,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_119,중앙로246번길,3.2,3.16,3.2,85,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2199,동계로13번길,4.5,0.5,1.38,6,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2198,동계천로95번길,6.71,3.2,4.07,15,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_2929,동계천로95번길,4.61,2.92,3.76,3,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_2358,동계로15번길,4.24,3.81,4.03,3,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_2206,동계로13번길,4.12,2.92,3.82,4,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2200,동계천로85번길,3.0,3.0,3.0,34,ngii_digitalmap,4.0,CANDIDATE,YELLOW,
seg_2359,동계로15번길,4.24,1.8,3.63,4,ngii_digitalmap,1.5,FIXED_BLOCK,RED,
