대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
전남광주통합특별시 동구 산수동 514-22번지,12210,11000,0,0514,0022,1065113779,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 35-3 (산수동),,,,,0,122104277253,11001,0,35,3,,0,주건축물,0,55.19,0,55.19,55.19,0,11,벽돌구조,"연와조, 브로크조",01000,단독주택,주택,20,기와,세와,0,1,0,1,0,0,0,1,4.95,55.19,0,0,0,0,0,0,0,0,,,19730830,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-22번지,12210,11000,0,0514,0022,1065113780,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 35-3 (산수동),,,,,0,122104277253,11001,0,35,3,,1,부속건축물,0,4.95,0,0,4.95,0,12,블록구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-23번지,12210,11000,0,0514,0023,1065113782,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-2 (산수동),,,,,0,122104277253,11001,0,31,2,,1,부속건축물,0,1.62,0,0,1.62,0,11,벽돌구조,,,,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-23번지,12210,11000,0,0514,0023,1065113781,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-2 (산수동),,,,,0,122104277253,11001,0,31,2,,0,주건축물,132.2,78.23,59.18,154.84,154.84,117.13,11,벽돌구조,세벽조,01000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,1,1.62,154.84,0,0,0,0,0,0,0,0,19900216,19900307,19900523,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-25번지,12210,11000,0,0514,0025,1065113784,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-25 (산수동),,,,,0,122104277253,11001,0,37,25,,1,부속건축물,0,3.3,0,0,3.3,0,11,벽돌구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-25번지,12210,11000,0,0514,0025,1065113783,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-25 (산수동),,,,,0,122104277253,11001,0,37,25,,0,주건축물,0,58.17,0,112.7,90.23,0,21,철근콘크리트구조,"콘크리트조, 세벽조",01000,단독주택,주택,10,(철근)콘크리트,스라브,0,3,0,2,1,0,0,1,3.3,112.7,0,0,0,0,0,0,0,0,19760421,,19770512,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-26번지,12210,11000,0,0514,0026,1065113786,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-3 (산수동),,,,,0,122104277253,11001,0,37,3,,1,부속건축물,0,3.3,0,0,3.3,0,12,블록구조,,,,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-26번지,12210,11000,0,0514,0026,1065113785,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-3 (산수동),,,,,0,122104277253,11001,0,37,3,,0,주건축물,157.4,0,0,0,0,0,11,벽돌구조,"세벽조, 조립식판넬조",01000,단독주택,"주택, 일반음식점",20,기와,"세와, 판넬지붕",0,0,2.8,2,0,0,0,1,1.33,0,0,0,0,0,0,0,0,0,,,19751016,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-27번지,12210,11000,0,0514,0027,1065113787,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-9 (산수동),,,,,0,122104277253,11001,0,37,9,,0,주건축물,132.2,65.72,49.71,99.07,99.07,74.94,11,벽돌구조,벽돌구조,01000,단독주택,단독주택,90,기타지붕,기타지붕,0,1,0,2,0,0,0,0,0,99.07,0,0,0,0,0,0,0,0,20040806,20040810,20041016,2004,3590014,건축과,1201,신축신고,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-28번지,12210,11000,0,0514,0028,1065113788,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-7 (산수동),,,,,0,122104277253,11001,0,37,7,,0,주건축물,139.2,68.26,49.04,128.57,128.57,92.36,11,벽돌구조,시멘트벽돌조,01000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,2,0,2,0,0,0,0,0,128.57,0,0,0,0,0,0,0,0,20000325,20000412,20000617,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-29번지,12210,11000,0,0514,0029,1000000000000000516709,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-5 (산수동),,,,,0,122104277253,11001,0,37,5,제1동,0,주건축물,120.26,71.4,59.3714,119.46,119.46,99.3348,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10,(철근)콘크리트,스래브,0,1,7.2,2,0,0,0,0,0,119.46,0,0,0,0,0,0,1,12.5,20211203,20220302,20221117,2021,3590141,건축과,1101,신축허가,0,,0,0,,0,,0,20221117,1,Ⅶ-0.191g
전남광주통합특별시 동구 산수동 514-30번지,12210,11000,0,0514,0030,1065113792,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로187번길 24 (산수동),,,,,0,122104277252,11001,0,24,0,,0,주건축물,155.4,89.88,57.83,285.71,265.56,170.88,11,벽돌구조,"철근콘크리트조, 세벽조",01000,단독주택,"근린생활시설, 단독주택",10,(철근)콘크리트,스라브,0,2,0,3,1,0,0,0,0,285.71,0,0,0,0,0,0,0,0,19910720,19910729,19920113,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-32번지,12210,11000,0,0514,0032,10651100180404,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-15 (산수동),,,,,0,122104277253,11001,0,37,15,,0,주건축물,149.1,84.13,56.43,165.1,165.1,110.73,21,철근콘크리트구조,철근콘크리트구조,01000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,1,0,7.55,2,0,0,0,0,0,165.1,0,0,0,0,0,0,1,11.5,20081008,20081011,20090113,2008,3590075,건축방재과,1101,신축허가,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-34번지,12210,11000,0,0514,0034,1065113795,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-34 (산수동),,,,,0,122104277253,11001,0,31,34,,0,주건축물,0,80.33,0,131.27,131.27,0,11,벽돌구조,세벽조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,0,2,0,0,0,1,3.11,131.27,0,0,0,0,0,0,0,0,19850809,,19851104,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-34번지,12210,11000,0,0514,0034,1065113796,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-34 (산수동),,,,,0,122104277253,11001,0,31,34,,1,부속건축물,0,3.11,0,0,3.11,0,11,벽돌구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-36번지,12210,11000,0,0514,0036,1065113798,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-30 (산수동),,,,,0,122104277253,11001,0,31,30,,1,부속건축물,0,0.9,0,0,0.9,0,11,벽돌구조,,,,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-36번지,12210,11000,0,0514,0036,1065113797,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-30 (산수동),,,,,0,122104277253,11001,0,31,30,,0,주건축물,128.6,75.96,59.07,128.12,128.12,99.63,11,벽돌구조,세벽조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,0,2,0,0,0,1,0.9,128.12,0,0,0,0,0,0,0,0,19851108,19851120,19860421,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-37번지,12210,11000,0,0514,0037,1065113800,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-32 (산수동),,,,,0,122104277253,11001,0,31,32,,1,부속건축물,0,2.7,0,2.7,2.7,0,11,벽돌구조,,01000,단독주택,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20260318,0,
전남광주통합특별시 동구 산수동 514-37번지,12210,11000,0,0514,0037,1065113799,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-32 (산수동),,,,,0,122104277253,11001,0,31,32,,0,주건축물,135.6,78,57.52,128.85,128.85,95.02,11,벽돌구조,시멘트벽돌조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,4,2,0,0,0,1,2.7,128.85,0,0,0,0,0,0,0,0,19850809,19850817,19851026,,,,,,0,,0,0,,0,,0,20260318,0,
전남광주통합특별시 동구 산수동 514-38번지,12210,11000,0,0514,0038,1065113801,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-19 (산수동),,,,,0,122104277253,11001,0,37,19,,0,주건축물,147.9,72.55,49.05,129.52,129.52,87.57,11,벽돌구조,세벽조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,6.95,2,0,0,0,1,0.9,129.52,0,0,0,0,0,0,0,0,19860828,19860920,19861222,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-38번지,12210,11000,0,0514,0038,1065113802,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-19 (산수동),,,,,0,122104277253,11001,0,37,19,,1,부속건축물,0,0.9,0,0,0.9,0,11,벽돌구조,,,,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-39번지,12210,11000,0,0514,0039,1065113804,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-21 (산수동),,,,,0,122104277253,11001,0,37,21,,1,부속건축물,0,0.9,0,0,0.9,0,11,벽돌구조,,,,,10,(철근)콘크리트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 514-39번지,12210,11000,0,0514,0039,1065113803,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 37-21 (산수동),,,,,0,122104277253,11001,0,37,21,,0,주건축물,125.7,73.88,58.77,128.06,128.06,101.88,11,벽돌구조,세벽조,01000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,6.95,2,0,0,0,1,0.9,128.06,0,0,0,0,0,0,0,0,19860827,19860913,19861222,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 515-1번지,12210,11000,0,0515,0001,1065113807,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-29 (산수동),,,,,0,122104277253,11001,0,31,29,,1,부속건축물,0,2.64,0,0,2.64,0,11,벽돌구조,,,,,90,기타지붕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20221028,0,
전남광주통합특별시 동구 산수동 515-1번지,12210,11000,0,0515,0001,1065113805,1,일반,2,일반건축물,전남광주통합특별시 동구 필문대로191번길 31-29 (산수동),,,,,0,122104277253,11001,0,31,29,,0,주건축물,0,124.94,0,179.15,179.15,0,12,블록구조,세브조,01000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,2,0,2,0,0,0,2,34.04,179.15,0,0,0,0,0,0,0,0,,,19760825,,,,,,0,,0,0,,0,,0,20221028,0,
