camera_id,road_name,addr_road,addr_jibun,lat,lon,cams,px,direction,year,geomFilter
cam_044,백서로,동구 백서로 219,동구 동명동 140-13,35.14736,126.926459,2,200만,360도,2023,"BOX(126.925357,35.146459,126.927561,35.148261)"
cam_045,백서로224번길,동구 백서로224번길 2,동구 동명동 142-60,35.147724,126.926693,1,200만,360도,2023,"BOX(126.925591,35.146823,126.927795,35.148625)"
cam_046,백서로224번길,동구 백서로224번길 2,동구 동명동 142-60,35.147724,126.926693,1,200만,360도,2022,"BOX(126.925591,35.146823,126.927795,35.148625)"
cam_047,백서로224번길,동구 백서로224번길 2,동구 동명동 142-60,35.147724,126.926693,1,200만,360도,2018,"BOX(126.925591,35.146823,126.927795,35.148625)"
cam_048,장동로,동구 장동로 23-16,동구 동명동 23-16,35.148828,126.925057,2,200만,360도,2021,"BOX(126.923955,35.147927,126.926159,35.149729)"
cam_049,장동로,동구 장동로 23-16,동구 동명동 23-16,35.148828,126.925057,1,200만,360도,2021,"BOX(126.923955,35.147927,126.926159,35.149729)"
cam_050,장동로43번길,동구 장동로43번길 10,동구 동명동 143-38,35.148349,126.926428,2,200만,360도,2023,"BOX(126.925326,35.147448,126.927530,35.149250)"
cam_051,중앙로246번길,동구 중앙로246번길 5,동구 동명동 236,35.153392,126.920369,4,200만,360도,2024,"BOX(126.919267,35.152491,126.921471,35.154293)"
cam_052,필문대로253번길,동구 필문대로253번길 9-2,동구 동명동 113-40,35.148201,126.929933,2,200만,360도,2022,"BOX(126.928831,35.147300,126.931035,35.149102)"
cam_053,필문대로253번길,동구 필문대로253번길 9-2,동구 동명동 113-40,35.148201,126.929933,1,200만,360도,2022,"BOX(126.928831,35.147300,126.931035,35.149102)"
